Tweet,Lemmatized_Tokens,Polarity,Polarity_Intensity
Ρατσιστική επίθεση σε μετανάστρια στο τρένο επειδή έκλαιγε το μωρό της (βίντεο) - dete -,"['ρατσιστικός', 'επίθεση', 'μετανάστριος', 'τρένος', 'έκλαιγε', 'μωρό', 'βίντεο']",-1,-1
@XaLaRa_Se_Lew @Pantafitaki Στη φωτογραφία του Instagram λέει Πτολεμαιδα. Αυτή δεν ήταν που έλεγε οτι έφυγε μετανάστρια;,"['pantafitaki', 'φωτογραφία', 'λέω', 'Πτολεμαιδα', 'δεν', 'που', 'έλεγε', 'οτι', 'έφυγε', 'μετανάστριος', 'λέω']",0,0
Ρατσιστική επίθεση σε μετανάστρια επειδή έκλαιγε το μωρό της στον ΗΣΑΠ (vid),"['ρατσιστικός', 'επίθεση', 'μετανάστριος', 'έκλαιγε', 'μωρό', 'στον', 'ησαπ']",-1,-1
@HMetanastria @giomar98436501 Η opinion poll είναι αυτή που έλεγε ότι ανέβηκε η λίμπιντο των Ελλήνων από τότε που βγήκε ο Κουλης.,"['είναι', 'έλεγε', 'ανέβηκε', 'λίμπιντο', 'Ελλήνων', 'τότε', 'που', 'βγαίνω', 'Κουλης', 'million', 'four', 'and', 'thousand', 'five', 'and', 'γνώμη']",0,0
Μόλις διορίσαν την κόρη του ιδιοκτήτη στο Μαξίμου. Κάτσε εσύ μετανάστρια να δέχεσαι ότι μαλακία σου λένε,"['διορίσαν', 'κόρη', 'ιδιοκτήτη', 'μαξίμος', 'κάτσε', 'μετανάστριος', 'δέχεσαι', 'μαλακία', 'λένε']",0,0
ΕΛΛΑΔΑ-ΚΟΣΜΟΣ Ρατσιστική επίθεση σε μετανάστρια επειδή έκλαιγε το μωρό της στον ΗΣΑΠ (vid): Ρατσιστική επίθεση εναντίον μετανάστριας και του μωρού της σημειώθηκε στον ΗΣΑΠ και κατεγράφη σε βίντεο.,"['ελλαδακοσμο', 'ρατσιστικός', 'επίθεση', 'μετανάστριος', 'έκλαιγε', 'μωρό', 'ησαπ', 'ρατσιστικός', 'επίθεση', 'μετανάστρια', 'του', 'μωρός', 'σημειώθηκε', 'στον', 'ησαπ', 'κατεγράφη', 'βίντεο']",-1,-2
Διαβάζω στο Twitter και εκπλήσσομαι. Υπάρχουν ακόμα Έλληνες που πιστεύουν ότι ο Μητσοτάκης θα επιστρέψει στην Τουρκία λαθροεισβολεις;;; Ο  Κυριάκος ακολουθεί την πολιτική του Τσίπρα στο μεταναστευτικό. Ξεγέλασε τον λαό και πήρε την καρέκλα. Οι δύο καταστροφείς.της Πατρίδας μου.,"['διαβάζω', 'εκπλήσσομαι', 'υπάρχω', 'Έλληνες', 'πιστεύω', 'μητσοτάκη', 'επιστρέψω', 'Τουρκία', 'λαθροεισβολει', 'Κυριάκος', 'ακολουθώ', 'πολιτική', 'τσίπρος', 'μεταναστευτικό', 'ξεγέλασε', 'λαό', 'και', 'πήρε', 'καρέκλα', 'δύο', 'καταστροφείςτης', 'Πατρίδας', 'κελάδημα']",-1,-1
Μεταναστευτικό: Κραυγή αγωνίας για άμεση αποσυμφόρηση,"['μεταναστευτικό', 'κραυγή', 'αγωνία', 'άμεση', 'αποσυμφόρηση']",-1,-2
Τάσος Γαϊτάνης: Η χώρα πλέον διαθέτει σχέδιο για το Μεταναστευτικό,"['Τάσος', 'γαϊτάνης', 'χώρα', 'διαθέτω', 'σχέδιο', 'μεταναστευτικό']",0,0
@kmitsotakis Αμεσο κλεισιμο συνορων θαλασσα και εβρο οπως εκανε η ιταλια οπως εκανε ο τραμπ οπως εκανε ο πουτιν επαναπροωθωση των παρανομων μεταναστων στις χωρες τους βασει συμφωνιας πληρης ελεγχος της τουρκιας στο διεθνες δικαστηριο οσον αφορσ το μεταναστευτικο με παραλληλες οικονομικες κυρω,"['αμεσος', 'κλεισιμο', 'συνορος', 'θαλασσα', 'εβρο', 'οπως', 'εκανε', 'ιταλιας', 'οπως', 'εκανε', 'τραμπ', 'οπως', 'εκανε', 'πουτιν', 'επαναπροωθωση', 'παρανομο', 'μεταναστος', 'χωρε', 'βασω', 'συμφωνια', 'πληρης', 'ελεγχο', 'τουρκια', 'διεθνες', 'δικαστηριο', 'οσον', 'αφορσ', 'μεταναστευτικο', 'παραλληλες', 'οικονομικε', 'κυρω']",0,0
@StraydogGreece @dimokratis_ Πως τάχα το 70% των Ελλήνων δεν συμφωνεί με την πολιτική της Κυβέρνησης στο Μεταναστευτικό. Ελεος!!!!!!!Σε τρείς μήνες θα έλυνε η κυβέρνηση το.....λιάζονται και το καλως ήλθατε του Τσίπρα...και εν μέσω μεγάλης κρίσης και με τον Τράμπ...εν παραφροσύνη!!!Ελεος!!!!!!!,"['πως', 'Ελλήνων', 'συμφωνώ', 'την', 'πολιτική', 'κυβέρνηση', 'μεταναστευτικό', 'ελεοςσε', 'τρείς', 'μήνε', 'έλυνε', 'κυβέρνηση', 'τολιάζομαι', 'καλως', 'ήλθατε', 'τσίπρακαι', 'μέσω', 'μεγάλης', 'κρίση', 'τράμπεν', 'παραφροσύνηελεο', 'εβδομήντα']",-1,-1
Το μεταναστευτικό είναι απλό ... 1/ κέντρα φιλοξενίας σε ακατοίκητα νησιά πλησίον των συνόρων με Τουρκία 2/ άδεια διαμονής σε πρόσφυγες - επενδυτες ακινήτων ετησιας διαρκείας .. άδεια παραμονής μόνο με γραπτό και προφορικό τεστ στην ελληνική γλώσσα.,"['μεταναστευτικό', 'απλό', 'κέντρο', 'φιλοξενία', 'ακατοίκητος', 'νησί', 'πλησίον', 'συνόρα', 'Τουρκία', 'άδεια', 'διαμονός', 'πρόσφυγα', 'επενδυτες', 'ακινήτος', 'ετησια', 'διαρκεία', 'άδεια', 'παραμονός', 'γραπτό', 'προφορικό', 'τεστ', 'ελληνικός', 'γλώσσα', 'ένας']",0,0
Αυτη δεν είναι ΕΕ. Ο καθένας κοιτάει τα δικά του σύνορα. Μόνο εμείς με τους Προδότες Ανθελληνες και Αντίχριστους  λέμε ότι δεν έχουμε σύνορα. Η Ελλάδα είναι το 10 μέλος ισχυρό σε αποφάσεις. Γιατί δεν μας υποστηρίζουν στο μεταναστευτικό;;. Έξω λοιπόν από το μόρφωμα που λέγεται ΕΕ.,"['αυτη', 'καθένα', 'κοιτώ', 'δικά', 'σύνορο', 'εμείς', 'τους', 'προδότες', 'ανθελληνες', 'αντίχριστου', 'λέμε', 'δεν', 'σύνορο', 'Ελλάδα', 'είναι', 'μέλος', 'ισχυρό', 'αποφάσει', 'δεν', 'υποστηρίζω', 'μεταναστευτικό', 'λοιπόν', 'μόρφωμα', 'λέγομαι']",1,2
"Χριστούγεννα, μεταναστευτικό, σφράγισμα παιδικών χαρών και πολλά άλλα στην συνεδρίαση της ΔΚ Μυτιλήνης","['Χριστούγεννα', 'μεταναστευτικό', 'σφράγισμα', 'παιδικός', 'χαρά', 'πολλά', 'στην', 'συνεδρίαση', 'Μυτιλήνης']",0,0
Η χώρα πλέον διαθέτει σχέδιο για το Μεταναστευτικό. Συνέντευξή μου στο @ethnosgr,"['χώρα', 'διαθέτω', 'σχέδιο', 'μεταναστευτικό', 'συνέντευξή', 'στο']",0,0
Εσείς τρώτε ξύλο από τις γυναίκες σας. Με αυτά τα μυαλά αυτό δείχνετε ότι συμβαίνει. Λοιπόν το μεταναστευτικό και το Σκοπιανό θα γίνει ο πολιτικός σας τάφος. Αμήν και πότε να γλυτώσουμε από εσάς τους ανώμαλους και προδότες. Τα σωματεία υπέρ της Γυναίκας που είναι κωφευουν;;;;;;;,"['τρώτε', 'ξύλο', 'τις', 'γυναίκα', 'τα', 'μυαλά', 'δείχνω', 'συμβαίνει', 'μεταναστευτικό', 'σκοπιανό', 'γίνω', 'πολιτικός', 'τάφος', 'αμήν', 'πότε', 'γλυτώσω', 'εσάς', 'ανώμαλους', 'προδότες', 'σωματείο', 'της', 'Γυναίκας', 'είναι', 'κωφευω']",0,0
Η πιο γελοία &amp; διεφθαρμένη κυβέρνηση θα πρέπει να αντιμετωπίσει:,"['πιο', 'γελοία', 'διεφθαρμένη', 'κυβέρνηση', 'πρέπει', 'αντιμετωπίσω', 'αμπέραζ']",-1,-1
1. Την επαναδιαπραγμάτευση σε περίπτωση ακύρωσης της Συμφωνίας των Πρεσπών.,"['επαναδιαπραγμάτευση', 'περίπτωση', 'ακύρωση', 'συμφωνία', 'πρεσπά']",1,1
Τώρα αρχίζουν τα δύσκολα... Όχι φρουρού κι αρώματα!,"['αρχίζω', 'δύσκολα', 'φρουρός', 'αρώματας']",0,0
"Η #κυβερνηση_Μητσοτακη  ανακοίνωσε την χρονική επέκταση του προγράμματος στέγασης αιτούντων άσυλο ""Εστία"", το οποίο προβλέπει την ενοικίαση 40.000 (!) διαμερισμάτων σε όλη την Ελλαδα! Με μία τριμελή οικογένεια σε κάθε διαμέρισμα, μιλάμε για 120.000 (!) άτομα!","['κυβερνησημητσοτακη', 'ανακοίνωσε', 'χρονικός', 'επέκταση', 'προγράμμα', 'στέγαση', 'αιτούντος', 'άσυλο', 'εστία', 'οποίο', 'προβλέπω', 'ενοικίαση', 'διαμερισμάτος', 'όλη', 'ελλαδα', 'μία', 'τριμελός', 'οικογένεια', 'κάθε', 'διαμέρισμα', 'μιλώ', 'άτομο', 'hundred', 'twenty', 'thousand']",0,0
"Τόσο στο μεταναστευτικό οσο&amp; στο οικονομικό πεδίο διακρίνω ασαφιες -Αστοχίες - Προχειρότητα - συνεπεια σε Συριζαιικες Αλχημείες,διγλωσσία,υποκρισία και ΦΑΜΦΑΡΟΛΟΓΙΕΣ .","['μεταναστευτικό', 'οσοamp', 'στο', 'οικονομικό', 'πεδίο', 'διακρίνω', 'ασαφιες', 'αστοχία', 'προχειρότητα', 'συνεπειας', 'συριζαιικα', 'Αλχημείεςδιγλωσσίαυποκρισία', 'φαμφαρολογιε']",0,0
Ένα απέραντο hot spot η Ελλάδα: Σε ποιες περιοχές θα μεταφερθούν 20 000 λαθρο από τα νησιά.,"['απέραντο', 'Ελλάδα', 'ποιες', 'περιοχή', 'μεταφερθώ', '000', 'λαθρο', 'νησιά', 'ζεστό', 'είκοσι']",0,0
Χρυσοχοΐδης: «Θα συμβάλει και τώρα στο μεταναστευτικό η Λάρισα»,"['Χρυσοχοΐδης', 'συμβάλω', 'τώρα', 'μεταναστευτικό', 'Λάρισα']",0,0
Συναντήθηκαν για το προσφυγικό μεταναστευτικό στο γραφείο βουλευτή,"['\ufeffσυναντήθηκαν', 'προσφυγικό', 'μεταναστευτικό', 'γραφείο', 'βουλευτή']",0,0
"Εκεί στην κυβέρνηση, δεν σας κόβει να καταλάβετε ότι τα άρθρα που παραγγέλνετε και γράφονται στο @LiberalGr , έχουν…","['στην', 'κυβέρνηση', 'σας', 'κόβει', 'καταλάβω', 'άρθρο', 'παραγγέλνω', 'γράφομαι', 'έχω', '…']",0,0
Συναντήθηκαν για το προσφυγικό μεταναστευτικό στο γραφείο βουλευτή,"['συναντήθηκαν', 'προσφυγικό', 'μεταναστευτικό', 'γραφείο', 'βουλευτή']",0,0
ουτε εγω τη θελω.χωρις συγνωμη,"['ουτε', 'εγω', 'θελωχωρις', 'συγνωμη']",0,0
Πράσινη Αριστερά: 22 προτάσεις για Προσφυγικό και Μεταναστευτικό,"['πράσινη', 'αριστερά', 'προτάσει', 'προσφυγικό', 'μεταναστευτικό']",0,0
"Μεταναστης σε ρημαδοalmera σε δρομο της Κυψέλης παραβιαζει στοπ, μπαινει αναποδα στην κινηση και κορναρει και σε πε…","['μεταναστης', 'ρημαδοalmera', 'δρομος', 'κυψέλη', 'παραβιαζω', 'στοπ', 'μπαινω', 'αναποδος', 'κινηση', 'κορναρω', 'πε', '…']",0,0
-Το μεταναστευτικό σήμερα δεν έχει σχέση με το προσφυγικό του 2015,"['μεταναστευτικό', 'σήμερα', 'έχω', 'σχέση', 'προσφυγικό', 'two', 'and']",1,1
-Η πολιτική ανοιχτών συνόρων του ΣΥΡΙΖΑ…,"['πολιτικός', 'ανοιχτής', 'συνόρος', 'συριζο', '…']",0,0
"Να κ η στιγμή που άναψε το πράσινο για την ""αναίμακτη"" εισβολή ΔΝΤ στην Ελλάδα. 10 χρόνια φτώχεια, κατρακύλα, εκφασ…","['στιγμή', 'άναψε', 'πράσινο', 'την', 'αναίμακτη', 'εισβολή', 'δντ', 'Ελλάδα', 'χρόνια', 'φτώχεια', 'κατρακύλα', 'εκφασ', '…']",-1,-1
Είδατε το βίντεο από τον ηλεκτρικό στο οποίο ένας που πρωταγωνιστεί στα γνωστά βίντεο των τοπ10 ψηφοφόρων ΣΥΡΙΖΑ 20…,"['βλέπω', 'βίντεο', 'τον', 'ηλεκτρικό', 'οποίο', 'που', 'πρωταγωνιστώ', 'γνωστά', 'βίντεο', 'τοπ', 'ψηφοφόρος', 'συριζο', 'αυτό']",0,0
Συνέντευξη τύπου Χ Στεφανάδη για μεταναστευτικό και υγεία,"['συνέντευξη', 'τύπου', 'στεφανάδη', 'μεταναστευτικό', 'υγεία']",0,0
MYefTbYqW,[],-1,-1
"@HMetanastria @bagslo @MEGAS5873032011 Αυτό το δεν το είπε ποτέ, το καταλαβαίνω γιατί είσαι μετανάστρια και δεν έχε…","['αυτό', 'δεν', 'λέω', 'καταλαβαίνω', 'είσαι', 'μετανάστρια', 'δεν', 'έχε', '…', 'billion', 'eight', 'and', 'million', 'thirtytwo', 'and']",1,1
@mary_i_c,['ντο'],0,0
"Το κομματικο μμε της ΝΔ, απλα αναπαραγει την προπαγανδα Μητσοτακη και του κομματος του, του μπλε Συριζα!","['κομματικο', 'μμε', 'απλο', 'αναπαραγω', 'προπαγανδο', 'μητσοτακη', 'κομμα', 'του', 'του', 'μπλε', 'συριζο']",0,0
@Phaedrus_L @mmotto113,"['one', 'and']",0,0
"Το κομματικο μμε της ΝΔ, απλα αναπαραγει την προπαγανδα Μητσοτακη κα…","['κομματικο', 'μμε', 'απλο', 'αναπαραγω', 'προπαγανδο', 'μητσοτακη', 'κα', '…']",0,0
@DimiDavos @LLenaat,[],-1,-1
"Το κομματικο μμε της ΝΔ, απλα αναπαραγει την προπαγανδα Μητσοτακη και τ…","['κομματικο', 'μμε', 'απλο', 'αναπαραγω', 'προπαγανδο', 'Μητσοτακη']",0,0
Το μεταναστευτικο είναι αυτή αυτή τη στιγμή το Νο1 πρόβλημα της Ελλάδας... Γιατί ήδη γεννάει προβλήματα ζωτικής σημασίας...,"['μεταναστευτικο', 'αυτή', 'στιγμός', 'πρόβλημα', 'Ελλάδας', 'ήδη', 'γεννάω', 'προβλήματας', 'ζωτικός', 'σημασία']",-1,-1
@skaloumbakas @revenger1860 @vkp_gr,"['thousand', 'eight', 'and']",0,0
"Το κομματικο μμε της ΝΔ, απλα αναπαραγει την προπαγανδα…","['κομματικο', 'μμε', 'απλο', 'αναπαραγω', 'προπαγανδο', '…']",0,0
@HrissyD @Gardasikritiko,[],-1,-1
"Το κομματικο μμε της ΝΔ, απλα αναπαραγει την προπαγανδα Μητσοτακη…","['κομματικο', 'μμε', 'απλο', 'αναπαραγω', 'προπαγανδο', 'Μητσοτακη', '…']",0,0
Το κακό είναι ότι οι Βρυξέλλες θεωρούν ότι όλα λύνονται με χρήματα,"['κακό', 'Βρυξέλλες', 'θεωρώ', 'ότι', 'όλος', 'λύνομαι', 'χρήματα']",0,0
@asteroid977,"['hundred', 'seventyseven', 'αστεροειδής']",0,0
"Το κομματικο μμε της ΝΔ, απλα αναπαραγει την προπαγανδα Μητσοτακη και του κομμ…","['κομματικο', 'μμε', 'απλο', 'αναπαραγω', 'προπαγανδο', 'μητσοτακη', 'του', 'κομμ', '…']",0,0
Απόστολο Χονδρόπουλο για τον @etyposgr της Κυριακής για:,"['Απόστολο', 'χονδρόπουλο', 'τον', 'Κυριακής']",0,0
✅τα συμπεράσματα του Ευρωπαϊκού Συμβο…,"['mark', 'συμπεράσμαα', 'ευρωπαϊκός', 'Συμβο', '…', 'λευκό', 'έλεγχος']",0,0
@jacdi69 @1anax,['1'],0,0
"Το κομματικο μμε της ΝΔ, απλα αναπαραγει την προπαγανδα Μητσοτακη και του κ…","['κομματικο', 'μμε', 'απλο', 'αναπαραγω', 'προπαγανδο', 'μητσοτακη', 'του']",0,0
@tgthessaloniki @lakamizeit,[],-1,-1
"Το κομματικο μμε της ΝΔ, απλα αναπαραγει την προπαγανδα Μητσοτα…","['κομματικο', 'μμε', 'απλο', 'αναπαραγω', 'προπαγανδο', 'Μητσοτα', '…']",0,0
#Αννα_Βαγενα #ΒΑΣΙΛΗΣ_ΚΟΚΚΑΛΗΣ #ΛΑΡΙΣΑ #ΠΟΛΙΤΙΚΗ #ΠΡΟΣΦΥΓΕΣ Απάντηση Κόκκαλη-Βαγενά σε Χρυσοχοΐδη για το μεταναστευ…,"['ανναβαγενος', 'βασιλησκοκκαλη', 'λαρισα', 'πολιτικη', 'προσφυγες', 'απάντηση', 'ΚόκκαληΒαγενά', 'Χρυσοχοΐδη', 'μεταναστευ', '…']",0,0
"Αριστερή φωτο εισβολείς, δεξιά φωτο  παιδιά","['αριστερός', 'φωτος', 'εισβολείς', 'φωτος', 'παιδί']",0,0
#otavoice #Ειδήσεις #Σάμος #μεταναστευτικο #μετανάστες #κυβερνηση_Μητσοτακη,"['ειδήσει', 'Σάμος', 'μεταναστευτικος', 'μετανάστε', 'κυβερνησημητσοτακη']",0,0
@PlanetZeroOne @aftolykos1 @Epicrotus @rockos13,"['rockos', 'ένας']",0,0
"Το κομματικο μμε της ΝΔ, απλα αναπαραγει τη…","['κομματικο', 'μμε', 'απλο', 'αναπαραγω', 'τη', '…']",0,0
Πέτσας στον Ελεύθερο Τύπο: Το μεταναστευτικό είναι πρόβλημα ευρωπαϊκό και όχι μόνο ελληνικό,"['πέτσας', 'ελεύθερος', 'τύπος', 'μεταναστευτικό', 'πρόβλημα', 'ευρωπαϊκό', 'όχι', 'ελληνικό']",0,0
αν μπορειται δειτε και τα 7 μερη,"['μπορειται', 'δειτε', 'μερη', 'επτά']",0,0
ρεαλιστικη τοποθετηση για το μεταναστευτικο,"['ρεαλιστικη', 'τοποθετηση', 'μεταναστευτικο']",0,0
"Και πως θα επαιρνε την καρεκλα η ΝΔ χωρις δεξιο σανο, αν ηταν ειλικρινης οτι η ιδεολογια κα…","['πως', 'επαιρνε', 'καρεκλο', 'χωρι', 'δεξιος', 'σανο', 'ηταν', 'ειλικρινης', 'οτι', 'ιδεολογιο', 'κα', '…']",0,0
"@Iptamenos23 Γελα όσο θες αλλά το αποτέλεσμα μετράει.Τα γνωστά δεν τραβάει ο Κούλης,δεν είναι χαρισματικός δεν τα χ…","['γελα', 'θες', 'αποτέλεσμα', 'μετράειτα', 'γνωστώ', 'τραβάει', 'Κούληςδεν', 'χαρισματικό', 'χ', '…']",0,0
"@gazeteduvar ""Τα κράτη έχουν δημιουργήσει τη φτώχεια, τον πόλεμο και τη μετανάστευση για να κερδίσουν!","['κράτη', 'δημιουργήσω', 'φτώχεια', 'πόλεμο', 'μετανάστευση', 'κερδίσω']",-1,-1
"@papapavl @aektzougiapanta Ο Μαυριδης και το κομματικο του μμε της ΝΔ, απλα αναπαραγει την ιδεολογια και πολιτικη Μ…","['Μαυριδης', 'κομματικο', 'μμε', 'απλο', 'αναπαραγω', 'ιδεολογιος', 'πολιτικη']",0,0
k9TFsn0Lv,"['nine', 'μηδέν']",-1,-1
Γαϊτάνης (ΝΔ): Η χώρα ήταν απροετοίμαστη για το μεταναστευτικό - Δεν υπάρχουν σενάρια πρόωρων εκλογών,"['γαϊτάνης', 'χώρα', 'απροετοίμαστη', 'μεταναστευτικό', 'υπάρχω', 'σενάριας', 'πρόωρος', 'εκλογή']",-1,-1
Στις κάλπες σήμερα (20/10) οι Ελβετοί για τη νέα Βουλή - Σταθερά μπροστά οι λαικιστές άνοδος για τους Πράσινους,"['κάλπες', 'σήμερα', 'ελβετοί', 'νέος', 'βουλή', 'σταθερά', 'μπροστά', 'λαικιστός', 'άνοδος', 'τους', 'πράσινους', 'thousand', 'ten']",1,2
Συνάντηση του βουλευτή Σάμου με φορείς της Σάμου για του μεταναστευτικό,"['συνάντηση', 'βουλευτή', 'σάμος', 'φορεί', 'σάμο', 'του', 'μεταναστευτικό']",0,0
Δεν είναι δυνατό να είναι τόσο #ΝΔ_ξεφτιλες -τόσο #ΝΔ_απατεωνες δεν μπορεί να το πιστέψει κανείς κυρίως κάτοικος το…,"['είναι', 'δυνατό', 'είναι', 'νδξεφτιλες', 'νδαπατεωνες', 'μπορώ', 'πιστέψει', 'κυρίως', 'κάτοικος', 'το', '…']",0,0
"Στο χθεσινό κεντρικό δελτίο ειδήσεων του bluesky συζητήσαμε με τους εκλεκτούς συναδέλφους, Γιάννη Κανελλάκη και Χρή…","['χθεσινό', 'κεντρικό', 'δελτίο', 'ειδήσεα', 'συζητήσαμε', 'τους', 'εκλεκτούς', 'συναδέλφου', 'Γιάννη', 'κανελλάκη', 'χρή', '…']",0,0
"Και που λέτε συντροφοι, το μεταναστευτικο δεν επροκειτο να λυθεί σε 2-3 μήνες. Γεγονός.","['που', 'λέτε', 'συντροφοι', 'μεταναστευτικο', 'επροκειτο', 'λυθώ', 'μήνε', 'γεγονός']",0,0
"Όταν θα αρχίσουμε να το λέμε σωστά, πράγμα που σημαίνει ότι έχουμε καταλάβει ποίο είναι το πρόβλημα, τότε ΙΣΩΣ λυθε…","['αρχίσω', 'λέμε', 'σωστά', 'πράγμα', 'σημαίνω', 'έχω', 'καταλάβει', 'ποίο', 'πρόβλημα', 'ισως', 'λυθε', '…']",0,0
🚨 Εξελίξεις για την Τουρκία.,"['εξελίξει', 'την', 'Τουρκία', 'αστυνομία', 'φως']",0,0
Ο Μπόρις Τζόνσον «εξέφρασε την ανησυχία του» στον Ερντογάν «για τις στρατιωτικές επιχ…,"['μπόρις', 'τζόνσον', 'εξέφρασε', 'ανησυχίας', 'στον', 'ερντογάν', 'τις', 'στρατιωτικός', 'επιχ', '…']",0,0
@GeorghyZhukov εχει 7 μερη αξιζει να τον ακούσετε,"['εχω', 'μερη', 'αξιζω', 'τον', 'ακούσω', 'επτά']",0,0
γαμημενο σκουλήκι γαμω το είναι σου,"['γαμημενος', 'σκουλήκι', 'γαμω', 'είναι']",0,0
ΝΑ ΤΟΥΣ ΠΝΙΞΟΥΜΕ ΔΗΛΑΔΗ ?,"['τους', 'πνιξουμε', 'δηλαδη']",0,0
"Ελληνίδα μετανάστρια στη Γερμανία, μισεί τους πρόσφυγες και υποστηρίζει ""Χρυσή Αυγή"".","['ελληνίδα', 'μετανάστριος', 'Γερμανία', 'μισώ', 'πρόσφυγα', 'υποστηρίζω', 'χρυσή', 'αυγή']",1,2
Πόσο φελλός μπορεί να είναι ένας άνθρωπος.,"['πόσο', 'φελλός', 'ένας', 'άνθρωπος']",0,0
@dimokratis_ Αύριο ψηφίζεται νομοσχέδιο για κύρωση της συμφωνίας του Μαρακές (=η μετανάστευση γίνεται δικαίωμα). Οι…,"['ψηφίζομαι', 'νομοσχέδιος', 'κύρωση', 'συμφωνία', 'μαρακός', 'μετανάστευση', 'γίνομαι', 'δικαίωμα', 'οι', '…']",1,1
"Παντως και ο τελευταιος ""παρανομος"" μεταναστης διαθετει μεγαλυτερη νοημοσυνη απο αυτους που ψηφισαν ΝΔ γιατι πιστευ…","['\ufeffπαντως', 'τελευταιος', 'παρανομο', 'μεταναστη', 'διαθετω', 'μεγαλυτερη', 'νοημοσυνη', 'απο', 'αυτου', 'ψηφομαι', 'γιατι', 'πιστευ', '…']",0,0
"@poetryf Κάθε εποχή , για την κατάσταση στο προσφυγικό / μεταναστευτικό ευθύνονται οι δύο μεγάλοι βασανιστές της αν…","['εποχή', 'την', 'κατάσταση', 'προσφυγικό', 'μεταναστευτικό', 'ευθύνομαι', 'δύο', 'μεγάλος', 'βασανιστής', 'αν', '…']",0,0
#Μητσοτακης #μπιτακου #Ελλαδα #Τουρκια #τσιπρας #ΝΔ_θελατε #μεταναστευτικο #ΣΥΡΙΖΑ_ξεφτιλες #συρία #κουρδοι…,"['μητσοτακη', 'μπιτακο', 'ελλαδα', 'τουρκια', 'τσιπρα', 'νδθεζω', 'μεταναστευτικο', 'συριζαξεφτιλες', 'συρία', 'κουρδοι', '…']",0,0
"""Τα κράτη έχουν δημιουργήσει τη φτώχεια, τον πόλεμο και τη μετανάστευση για να κερδίσουν!""","['κράτη', 'δημιουργήσω', 'φτώχεια', 'πόλεμο', 'μετανάστευση', 'κερδίσω']",-1,-1
Μητσοτάκης: Οι Ευρωπαίοι κατάλαβαν το δίκαιο των ελληνικών θέσεων για το μεταναστευτικό,"['μητσοτάκη', 'Ευρωπαίοι', 'κατάλαβαν', 'δίκαιο', 'ελληνικός', 'θέσεα', 'μεταναστευτικό']",0,0
@AdonisGeorgiadi πάρτε μπροστα και δείξτε κατι διαφορετικό!,"['πάρτε', 'μπροστος', 'δείξτε', 'κατι', 'διαφορετικό']",0,0
"@Skolyx Στο Τορόντο, ένας θείος μου, 40 χρόνια μετανάστης από την Αθήνα, και δεν έμαθε να μιλά ούτε μία πρόταση στα…","['τορόντο', 'θείος', 'χρόνια', 'μετανάστης', 'την', 'Αθήνα', 'δεν', 'έμαθε', 'μιλά', 'μία', 'πρόταση', 'στα', '…', 'σαράντα']",1,2
"Είναι το στρατηγικό σχέδιο: μπαζοντας όλους τους εισβολείς στο γεωγραφικό χώρο που λέγεται Ελλάδα, ελπίζει η κυβέρν…","['στρατηγικό', 'σχέδιο', 'μπαζω', 'τους', 'εισβολείς', 'γεωγραφικό', 'χώρο', 'λέγομαι', 'Ελλάδα', 'ελπίζω', 'κυβέρν', '…']",0,0
Η Άννα Τριανταφυλλιά Τσούτσα «φώτισε» τις εξελίξεις στη Συρία και το μεταναστευτικό,"['άννος', 'τριανταφυλλιά', 'Τσούτσα', 'φώτομαι', 'εξελίξει', 'Συρία', 'μεταναστευτικό']",0,0
NkSFX5EPl…,['πέντε'],0,0
"""Τα κράτη έχουν δημιουργήσει τη…","['κράτη', 'δημιουργήσω', 'τη', '…']",0,0
@PrimeministerGR εχει 7 μερη αξιζει να τον ακούσετε,"['εχω', 'μερη', 'αξιζω', 'τον', 'ακούσω', 'επτά']",0,0
@kritikopoulos Ο Καντάφι δεν ήταν που είχε πει : Την Ευρώπη δεν θα την πάρουμε με τα όπλα αλλά με την μετανάστευση…,"['καντάφι', 'ήταν', 'έχω', 'λέω', 'Ευρώπη', 'πάρω', 'όπλος', 'μετανάστευση', '…']",0,0
Ri6nCUPyF,['έξι'],0,0
"Αυστηροποιει η #κυβερνηση_Μητσοτακη την αποδοση ασυλου, ομως οι ξενοφοβικοι ελληναρες ακομα σκουζουν στα σχολια👇","['Αυστηροποιει', 'κυβερνησημητσοτακη', 'αποδοση', 'ασυλο', 'ομω', 'ξενοφοβικος', 'ελληναρες', 'ακομο', 'σκουζω', 'σχολιαbackhand', 'δείκτης']",0,0
«An #asylum-seeker Economic #Migrant must know that he will return to Turkey».,"['migrant', 'turkey', 'ενας', 'οικονομικός', 'ότι']",1,1
❌If you plan to com…,"['you', 'διασχίζω', 'σχέδιο']",0,0
"Εύγε, και ακούστε καλά τι λέει και ξυπνήστε","['ακούστε', 'λέω', 'και', 'ξυπνήστε']",0,0
@100_axiologisi Κουμουτσάκος θα ήταν η εύκολη απάντηση αλλά απαλλάσσεται διότι οι αποφάσεις στο μεταναστευτικό έρχονται από πιο ψηλά,"['κουμουτσάκο', 'ήταν', 'εύκολη', 'απάντηση', 'απαλλάσσομαι', 'διότι', 'αποφάσει', 'μεταναστευτικό', 'έρχομαι', 'πιο', 'ψηλά', 'hundred']",0,0
