Gr_Content,Gr_Sentiment
Τελικά παρακολουθούσα τα τελευταία επεισόδια του γραφείου στο NBC theofficenbc Τώρα καταλαβαίνω γιατί ο Gervais σταμάτησε μετά από 2 εποχές,έκπληξη
RIP Big cup Θα σας λείψει,θλίψη
δεν μπορώ να ρυθμίσω το τηλέφωνό μου στο twitter,θλίψη
hes outta the ofc til Δευτέρα GRAND κάπως μου bummed έξω αλλά bc Ήμουν πραγματικά άρρωστος there nuthin μπορώ να κάνω γι &#39;αυτό gt,θλίψη
σκεφτόμουν τη ζωή και τα όνειρά μου γιατί φαίνεται τόσο ελκυστικό να εγκαταλείψω το εγώ τόσο ζηλότυπη για κάθε bandartist που ζει τους έξω,θλίψη
Χρόνος με το μυρμήγκι πριν περάσει το βράδυ,θλίψη
γιατί είσαι τόσο θυμωμένος,θλίψη
Sickkkk και χρειάζομαι 1120NOW,θλίψη
δεν ευχαριστώ για την καταχώρηση του ιστολογίου αλλά διέταξα τη δική μου πριν από λίγες μέρες νιώθω τόσο χαζός,έκπληξη
ζεστό και υγρό πέρασε την ημέρα χαλί καθαρισμό του σκάφους,θλίψη
Είναι έξω από παγωτό στο Crazy Mocha σε SS Αυτό σημαίνει ότι δεν Espresso Milkshake,θλίψη
nooo ήταν ένα πραγματικό μανιτάρι αλλά ο γείτονάς μας τον ξεριζώνει,θλίψη
Κουρασμένος αλλά λοξοτομείτε ακόμα στο κρεβάτι,θλίψη
"όχι το καλύτερο Σαββατοκύριακο, αλλά καλά εγώ έχω το δικαίωμα να είμαι λυπημένος",θλίψη
"Ανερωτημένοι από τις μεταβολές της διάθεσης των ανθρώπων, με κάνει κάπως λυπηρό που δεν μπορώ να επισημάνω πώς αισθάνονται",θλίψη
έκανε μια μικρή κάλυψη για το iphone μου τα πουλιά arent ανάποδα στην πλάτη http twitpic com67tp9 amp http http bit lyFjeAm,θλίψη
Κοίταξε Δέκα Λίρες χτες τη νύχτα λαμπρή ταινία Δεν θα μπορούσα να σταματήσω να κλαίω,θλίψη
δεν είναι τόσο καλό,θλίψη
όλα πάνε στραβά στην ευτυχισμένη μέρα μου,θλίψη
πηγαίνοντας στο κρεβάτι λοξοτομείτε να πάρετε αυτό το οποιοδήποτε Longeerr maan U,θλίψη
belay το μαγιό μαγιό μαγιό συνηθισμένο να είναι έτοιμος αυτή η θλίψη το Σαββατοκύριακο,θλίψη
Bah ακόμα στη δουλειά Lol τα πόδια μου βλάψει και η μύτη μου θα σταματήσει να τρέχει,θλίψη
i dont evn να μιλήσει 2 τον ίδιο δεν ήταν άλλο ένα τεράστιο λάθος έπρεπε να ακούσει 2 το i kno shes she απογοητευμένος σε μένα,θλίψη
έχει τελειώσει τις εξετάσεις έχει σχεδόν μετακινηθεί από τις αίθουσες και αφήνει το Λονδίνο αύριο,θλίψη
"Αυτό είναι εντάξει, δεν ήθελα να παρακολουθώ το shelby ούτως ή άλλως",θλίψη
τι γίνεται με τη σάλτσα Huh Im πηγαίνω στην Καλιφόρνια αύριο το πρωί,έκπληξη
Twitters είναι κουτσός και θα συνηθίσει post twitpic μου Gucci και εγώ,θλίψη
sickkkkk ΠΗΓΑΙΝΕ ΜΟΥ ΑΠΟ ΑΥΤΟ ΤΟ ΣΠΙΤΙ Χρειάζεται να πάρει ενεργητικό τι συμβαίνει Κάλο Καβίνα κόμμα με χτύπησε uhpp,έκπληξη
ahh Αυτό είναι χάλια,έκπληξη
αλλά ξέρω ότι λοξοτομώ,θλίψη
kenny u ζωντανός Im εδώ πάρει da μαλλιά γίνει στο κακό Im δεν chillin wu λίγο παλιομοδίτικο λυπημένος,θλίψη
"το ίδιο εδώ, όπως ξέρω ότι οι άνθρωποι που έχουν χειρότερες ζωές από μένα αλλά εύχομαι να μπορώ να γυρίσω πίσω και να αλλάξω κάποιες πτυχές της ζωής μου",θλίψη
Πραγματικά μια φοβερή μέρα,θλίψη
Φοβερός άνθρωπος έχασε την εγγραφή 4 flashcamp,έκπληξη
"Προετοιμασία 2 αφήστε 2 μια κοκκινοσκουφίτσα που μετρούν Δεν νιώθω σαν, αλλά έχω 2",θλίψη
Είμαι τόσο πεινασμένος αν ο βραχίονας μου ήταν στη διατροφή του πυρήνα θα το φάω Μάλλον πρέπει να περιμένω μέχρι το δείπνο είναι έτοιμο,θλίψη
Μου λείπει αυτή που πηγαίνει για το WHOULLLLEEEE boo hoo Σαββατοκύριακο,θλίψη
"Άρχισε να αγωνίζεται, ώστε να μην μοιάζει περισσότερο με το burlesque για μένα",θλίψη
όλα αυτά είναι απαίσια Με κάνει τόσο λυπημένο,θλίψη
Αισθάνεται λίγο μόνος,θλίψη
Ouch Γνωρίζοντας πόσο προστατευμένη ήταν η ανατροφή μου,θλίψη
Πιστέψτε το ή όχι Im ένα super geek,έκπληξη
Απλά ανακάλυψα ότι οι γονείς μου βάζουν το σκυλί μου αύριο το πρωί αναστατωμένος,οργή
Ακούγεται σαν μια καταπληκτική υπηρεσία. Λυπάμαι που ακούω για τη μητέρα της,θλίψη
Ειλικρινά στο σπίτι μόνο,θλίψη
Η Έλεν γιατί πρέπει να ξαποστάσεις Im τόσο λυπημένη τελετή τώρα,θλίψη
"Τα αστέρια και οι γιοι ήταν δύσκολο να αναθεωρηθεί Δεν με πιάσε αμέσως αυτό το πρωί, γι &#39;αυτό θα πρέπει να καθυστερήσει την αναθεώρηση σε ένα δεύτερο αύριο το άκουσμα",θλίψη
μου λείπει το 18,θλίψη
Έχουμε στερηθεί πλήρως τον ύπνο απόψε απόψε και το πρωί,έκπληξη
ήταν εκεί έξω την Τετάρτη,θλίψη
Εκτός από το γυμναστήριο από μόνη μου δεν διασκεδάζω,θλίψη
Πραγματικά Φοβερός Im τρελός cuz οι οπαδοί μου r goin κάτω Πάρτε μια αναπνοή,έκπληξη
ο γλάρος με μισεί και με εντυπωσίασε απόλυτα γι &#39;αυτό μου λείπει,θλίψη
Idk δεν μπορώ να κάνω σκατά,θλίψη
Μακάρι να μπορούσα αλλά να δουλεύω όταν είναι,θλίψη
Πήρε το CofO για αργά δεν έκλεισε σήμερα Θα κλείσει τη Δευτέρα πίσω για να συναντήσετε έναν αγοραστή απόψε να δείξει μερικά σπίτια για να,θλίψη
Εμφανώς γνωρίζει ότι το αντίγραφο μου των Sims 3 δεν είναι νόμιμο και είναι αναστατωμένο,οργή
Έτσι βαρεθεί δεν μπορούσε να πάει στο akon,θλίψη
chris sab και εγώ ως ΕΣΤΙΑΚΑ ΠΟΔΙΑ,θλίψη
"Hummmmm ohh μου λείπεις τόσο πολύ πραγματικά, αλλά ελπίζω ότι έχετε έναν συμπαθητικό φίλους σαν εμάς",θλίψη
Δοκίμασα χθες και είπαν όχι,έκπληξη
οδήγησε το μοτοποδήλατο στα πράγματα διασκέδασης του εμπορικού κέντρου το παντελόνι του είναι πανέμορφο έξω Im θλιβερό που είναι άρρωστο,θλίψη
"όχι Santa cruz για μένα, αλλά έχω μια συνέντευξη στο jamba αύριο το πρωί",θλίψη
Καλοκαίρι Πρέπει όμως να διαβάσω 6 βιβλία 6 LONG βιβλία,θλίψη
Ο Argh noo έχασε τους δολοφόνους στο Wossy Αυτό είναι χάλια Έχασαν στην Brandon Total αποτυχία Όποιος ξέρει αν το επαναλαμβανόμενο Πρέπει να ερευνήσει,θλίψη
Νομίζω ότι είναι αηδιαστικό,θλίψη
όλοι ντυμένοι και όχι πού να πάνε,θλίψη
την εργασία σε μια νύχτα νύχτα την Παρασκευή,θλίψη
διαπίστωσε ότι το qufriendquot μου δεν είναι στην πραγματικότητα αλλά συμβαίνει σκατά,θλίψη
δεν εννοώ 2moz Im workin 71 σε έναν αρτοποιό έπειτα 64 αργότερα σε μια παμπ,θλίψη
Ήταν ακριβώς σε ένα ναυάγιο Να πάρει πραγματική πληγή τώρα Ήταν δικό τους λάθος και δεν είχαν ασφάλιση Σχεδιάζοντας να πάει στο γάμο απόψε,θλίψη
ναι τώρα Im κάνει αλλά πρέπει να εργαστώ όλο το Σαββατοκύριακο Im sooooo bummed γι &#39;αυτό,θλίψη
Ο ήλιος διασχίζει τα σύννεφα και τώρα καλύπτεται ξανά,θλίψη
αυτό είναι αγενές,έκπληξη
ooft ποια παμπ Im off 2moro αλλά έχω ένα συσσωρευμένο από αυτό που οι άνθρωποι αποκαλούν εργασία για να τελειώσει η αμφιβολία Ill κάνουμε αυτό,έκπληξη
Δεν θέλω να είμαι πλέον άσχημος,θλίψη
έρχεται να πάει σπίτι μου Im εδώ μέχρι το 1030,θλίψη
την τελευταία μέρα του σχολείου και την τελευταία συναυλία της ζωής μου wow μπορείς να πεις ότι η συναισθηματική im θα χάσει πραγματικά mhs είχε πρακτική αποφοίτησης σήμερα,θλίψη
im τόσο ντυμένος δεν θα μπορούσα να κάνω ένα instore στο καυτό θέμα στο εμπορικό κέντρο rockaway για να δείτε haha δεν συνηθίζει,θλίψη
Θα χάσω την Πόλη μου όταν αφήνουμε τα πεντανόσκυλα ρύπανσης και όλα,θλίψη
"Γι &#39;αυτό αγαπώ mac μου, αλλά msn δεν δουλεύει σε αυτό ακόμη",θλίψη
Η αίθουσα rofl είναι πολύ μικρή για να χορέψει,έκπληξη
Παίρνω μια κυψέλη στο παγωτό μου και πονάει πολύ,θλίψη
Έχασα 15 δολάρια Πάντα χάνω τα χρήματά μου,θλίψη
haha τυχερός Δεν το έχω δει ακόμα Το γαμημένο χάλια,έκπληξη
"Λοιπόν ναι Αλλά η μαμά μου δεν θέλει να οδηγήσει μέχρι το Sac, αν ήμασταν τόσο μακριά",θλίψη
ένα φτωχό πόδι awww στέλνει εικονική αγκαλιά x,θλίψη
πάρα πολλές καλές εκπομπές έρχονται και δεν υπάρχουν χρήματα για να αγοράσουν τα εισιτήρια fmfl ολοκαίνουργια στο φούρνο,θλίψη
oh κοιτάξτε το νέο σπίτι της στο santa barbara http i41tinypic com2hi2t4y jpg hahha εύχομαι,έκπληξη
αφού σου έλεγα γεια σου πώς το έκανε σε διπλό πήρε τον ενισχυτή αριστερά Δυστυχώς θα έπρεπε να την αφήσω να κοιτάξει γύρω πρώτα,έκπληξη
γαμημένο μισεί τα αποχαιρετιστήρια,θλίψη
Υπάρχει ένα τεράστιο bulldyke ματιά μου,έκπληξη
Μείνε το παιχνίδι,θλίψη
Πονάει το κεφάλι μου,θλίψη
"ό, τι δώσω τα τηλέφωνά μου για να πεθάνω ούτως ή άλλως την επόμενη φορά",θλίψη
"Συγνώμη, δεν κατάφερα να κατανοήσω το νόημά σας",θλίψη
oy im tak nerd γράφω 2 no1 cuz no1 είναι followin me εννοώ lik sum1 ήταν αλλά ο λογαριασμός τους διαγράφηκε λόγω των περιοδικών activitiesquot,θλίψη
Ξέχασα Με ζύγισαν στο Δρ Είμαι στο υψηλότερο βάρος μου ποτέ,έκπληξη
Aww Im συγγνώμη τα αγόρια σας είναι άρρωστα Ill κρατήσει τα δάχτυλά μου διέσχισαν για καμία ουρές lol Μείνετε καλά εαυτό σας και να πάρει καλύτερα αγόρια,θλίψη
Μοιάζει με μια ακόμη νύχτα στο γραφείο lol,θλίψη
Όταν με βλέπετε σημείο και γέλιο Im άσχημο,θλίψη
σπίτι μόνη της σε μια νύχτα της Παρασκευής δεν παίρνει πιο θλιβερή από ότι οι λαοί,θλίψη
πρέπει να δούμε ένα ζωντανό βλαστικό ζωντανό συγκρότημα για να μην έρθει στο Ηνωμένο Βασίλειο φέτος κάποιος θέλει να πάει να δει τον Billy Bragg ή τον Colin Blunstone μαζί μου,θλίψη
aww hey δεν ήξερα ότι ήσασταν εσύ LOL Im άρρωστο Δεν ξέρω για μένα,θλίψη
MICHELLEEEEEEEEEEEEMYBELLEEEEEEEEEEEEEEEEEE snif snif,θλίψη
"Όχι μπροστά από την τηλεόραση, η βαθμολογία είναι ένα inning",θλίψη
ok γιος στο μπάνιο έτσι θα δούμε αν μπορώ να βρω κάποια γρήγορα αποσπάσματα Θα χάσετε yall αυτό το Σαββατοκύριακο Im ήδη gettin λυπημένος,θλίψη
Ω dang Drag Me To Hell βγήκε σήμερα δεν το έκανε Ο άνθρωπος Θα ήθελα να θυμηθώ ότι θα είχα πάει και να το δει,θλίψη
Είχα λογαριασμό σε ένα τοπικό κωμικό κατάστημα που έτρεξα σε 4k ταυτόχρονα,θλίψη
Πόσο καταπληκτικό είναι τα hollyoaks Αλλά ο φτωχός λαμπερός μου,θλίψη
Πω πω μοιράζεστε μερικές από τη μακρά λίστα μου,έκπληξη
όλα αυτά είναι κακοί,θλίψη
"Εύχομαι, αλλά nah babe πίσω εγώ σπίτι στο ATL",θλίψη
Λείπει ο αγώνας κυνηγετικών όπλων γιατί μου ένοιωσα να πηγαίνω στο κατάστημα με τη σύζυγο,θλίψη
"Νομίζω ότι άρρωστος είναι σπίτι περισσότερο από ό, τι θέλω να είναι την επόμενη εβδομάδα δεν έχει κλείσει εργασία για το προβλεπόμενο",θλίψη
"Im soooo βαρεθεί απλά fuckin πήρε ένα νέο τηλέφωνο και κάλεσε τον άνθρωπο μου, αλλά hes πολυάσχολος και ένας άλλος βαρεθεί",θλίψη
Ακριβώς για να οδηγήσω τρελό μου λείπει το μεγάλο μπλε επιλεγμένο τιτίβισμα τιτίβισμα Λοξοτομώ πού τιτίβισμα έχει επιλεχθεί πια,θλίψη
καλά πραγματικά δεν μπορώ να πιστέψω ότι xxx,έκπληξη
"Μισώ όταν συμβαίνει αυτό, ελπίζω να το καταλάβεις σύντομα",θλίψη
Πάλεψα τον Jered μέχρι θανάτου για να αποφύγω ένα υγρό willy αλλά με πήρε ούτως ή άλλως Q έρχεται πάνω από το ποδήλατο,θλίψη
Χωρίς τη φόρτωση με φτυάρι δεν υπάρχει μπισκότο shortcake,θλίψη
Ο FUCK κοιμόταν,οργή
όλα αυτά με έκανε να συνειδητοποιήσω ότι πρέπει να βγάλω το δελτίο μου επίσης Theres τόσες πολλές αναμνήσεις επάνω εκεί,έκπληξη
Δεν θέλω να χάσω το παιχνίδι νικητή είμαι τόσο λυπημένος,θλίψη
αυτό που σκέφτηκα ur πηγαίνει κάπου thats γιατί εγώ did not invit u,θλίψη
πορεία προς αποφοίτηση Δεν μου αρέσει αυτό το OH και ο Nick Ill σας ψάχνει,θλίψη
το σπίτι μου είναι τόσο λυπηρό που κοιτάζει χωρίς όλα τα έπιπλα αέρα που το στρώμα για 2 διανυκτερεύσεις και έπειτα Im επίσημα μετακόμισε από Knoxville,έκπληξη
κάλεσα το kris δεν το πήρε αισθάνομαι πραγματικά άσχημα ha ha,θλίψη
Υποθέτω ότι το χαλαρωτικό δείπνο και μια ταινία είναι έξω για απόψε που το περίμενα αυτό μετά από την ημέρα μου στην εργασία,θλίψη
OH πραγματικά έβαλα ήδη όλες τις φωτογραφίες μέχρι συγνώμη http twitpic com61oj0,έκπληξη
ζευγάρια μέρες Sheeeeit Wish Ήμουν εκεί Έχω κάτι στο Cafe Claude για μένα,έκπληξη
Το Ugh πρέπει να αναφέρει πάλι τη Δευτέρα,θλίψη
οι αδελφές μου γαμημένο pc απλά blued μου εξέτασε,οργή
Idk Im μόνο ένας ηλίθιος 7ος γκρέιντερ,θλίψη
Ο Μπαθ ένας συνεργάτης έτρεξε να δουλέψει αργά και η τσάντα του χτύπησε στο γόνατό μου πονάει πραγματικά τώρα,θλίψη
Δυστυχώς για εμάς μοιάζει να μην υπάρχει κανένας αστείος κόσμος στο twitter Θα πρέπει να μετακινηθούμε στην FB ή να ξεκινήσουμε το δικό μας flitter,θλίψη
"Αναστατωμένος αγώνας για να μιλήσετε με κάποιον, αλλά idk που όμως",θλίψη
CRAP Πάντα να ξεχνάς ότι είσαι εδώ,θλίψη
haha youre τόσο αστείο Mikee youre πιθανώς ο μόνος Mike Ill πάντα σαν θλιβερή σκέψεις,θλίψη
Θα ήθελα να είμαι στο Botcon με όλους,θλίψη
"Το Διαδίκτυο είναι απλώς μια μεγάλη αποτυχία για μένα σήμερα όχι μόνο είναι Twitter συνηθισμένο semiflaky μόνο του, αλλά Facebook και VRBO com πολύ Boo",θλίψη
καμία ιδέα τι σημαίνει bb,έκπληξη
ugh μου την πλάτη με σκοτώνει,θλίψη
Θα έπρεπε να πάω αύριο tooooo αλλά πρέπει να χρησιμοποιήσω τα χρήματα του φυσικού αερίου και των εισιτηρίων για να πληρώσω για το τέλος επιθεώρησης αυτοκινήτων,θλίψη
Είναι στη δουλειά,θλίψη
Βαριέται στα δάκρυα χωρίς τα αγόρια μου Είναι στο μπαμπά τους για μια εβδομάδα,θλίψη
waaaaayyyyy πολύ ζεστό για αυτό,έκπληξη
"Νουροφαίνη και μαριχουάνα συνήθως, αλλά Im λείπει η τελευταία αυτή τη στιγμή",θλίψη
Σε αυτό το σημείο Im θα μείνει εδώ μόνο με Tommy Δεν είναι βραβείο,έκπληξη
Είμαι άρρωστος και λυπημένος που λείπει από το Martini Lounge απόψε,θλίψη
Πηγαίνοντας να έχω γεύμα yum στη συνέχεια να παρακολουθήσετε κακό παιχνίδι φίλη Έχω μια ώρα 6am τηλεφώνου αύριο,θλίψη
δεν είναι ο γαμπρός μου πιστεύω άρρωστος πεθαίνουν μια παλιά καμαριέρα lol,θλίψη
Όχι αλλά μου λείπεις,θλίψη
απασχολημένος πνεύμα εργασίας πώς λειτουργεί η επιχείρησή σας,έκπληξη
Λοξοτομήστε όλα τα χαμηλά μου I soooooo θέλετε να πάτε στο σταθμό του μετρό Τα φτηνά σου πλάνα δεν θα είναι σε θέση να σπάσει τα οστά,θλίψη
το έκανε,έκπληξη
δεν παίζουν ούτε εδώ,έκπληξη
αυτή είναι η χειρότερη μέρα ποτέ που είχα πει im im chav,θλίψη
υπάρχουν πάρα πολύ φωτορύπανση για να δείτε τα αστέρια,θλίψη
Pleaseeee im πραγματικά κουρασμένος και κολλήσει στην αίθουσα αναμονής για 2 ώρες τα μεσάνυχτα στην Αγγλία hw πολλά χρήματα κάνουμε u πάρτε ένα mnth,έκπληξη
Δεν είμαι φίλοι με κανέναν πια,θλίψη
οι φίλοι μου είναι στο Σαν Πάμπλο αυτή τη στιγμή θα πίνουν γελώντας και κολυμπώντας και εδώ παίζω huhuhu,θλίψη
Ένα από τα ψάρια μας πέθανε,θλίψη
"Δίνω uppp μια ώρα tryin να tlk να τον αγαπώ, αλλά μου στιγμιαίες lol",θλίψη
το κουτάβι μου είναι άρρωστο,θλίψη
Hey Mitchel πότε θα ζεις ξανά δεν έχω την ευκαιρία να σε τηλεφωνήσω,θλίψη
"Έχω παραγγείλει μια ανταλλακτική παλάμη centro cuz το τηλέφωνό μου έχασε killt ήθελα μια παλάμη pre, αλλά δεν μπορεί να αντέξει ένα σχέδιο δεδομένων",θλίψη
καλά λείπεις Im θλιβερό δεν ήξερα να σε γνωρίσω,θλίψη
ο σκοτεινός μου ιππότης dvd λείπει im nagged,θλίψη
"Λυπούμαστε για την καθυστέρηση στη δημοσίευση αυτής της εκπομπής εβδομάδων. Ορισμένες τεχνικές δυσκολίες κατά την κωδικοποίηση θα παραμείνουν ως έχουν, αλλά μπορεί να είναι το Σάββατο",θλίψη
Εύχομαι ότι ήμουν στο καλύτερο wit mari nd lupita βλέποντας VFC δεν είναι δίκαιο,θλίψη
Αισθάνομαι ότι το όνειρό μου έχει μόλις καταστραφεί,θλίψη
Αρχική σελίδα wbae amp Myka Hes so meann,θλίψη
oh αγαπητέ gareths bday 2moro όλες οι φίλες μου είναι στο εξωτερικό τυχερός niamh έρχεται στο σπίτι 2moro φτωχός gareth έχει 2 ακούει 2 μου μιλάω όλη μέρα,έκπληξη
είχε την τελευταία μου τάξη με Σκοτ και Τζούλι σήμερα που θα τους χάσετε που μου αγόρασαν ένα μπουκάλι σαμπάνια ως συγχαρητήριο δώρο,θλίψη
"Hmmm hes τόσο υπέροχη Θα ήθελα να ήταν εδώ τώρα Im κουρασμένος, αλλά δεν μπορούσα να κοιμηθώ",θλίψη
"να διασκεδάσετε, είμαι λυπημένος να μην είμαι μαζί σας",θλίψη
δεν μπορείτε να αλλάξετε το backgroud του προφίλ σας ούτε,θλίψη
απολύτως εκσπλαχνισμένο ότι im δεν πρόκειται να badu απόψε εσείς έχετε τη διασκέδαση μόλις πήρε σπίτι και πρέπει να το κεφάλι στο κέντρο της πόλης τώρα gd αυτή τη θερμότητα,θλίψη
Αυτό θα ήταν πραγματικά σπουδαίο εκτός από το ότι δεν μου επιτρέπεται να μιλάω με τα αγόρια στο τηλέφωνο μακρά ιστορία το ελάττωμά μου,θλίψη
"wow 2 μήνες από τότε που ive στο twitter έπρεπε να πάει να δει Maat στο PA, αλλά ο James είναι sleepin",έκπληξη
Μόλις συνειδητοποίησα ότι κρατώ μέλος στο γυμναστήριο έβλεπα την δήλωση τράπεζας μου,έκπληξη
Το ATampT εξαπάτησε το σύστημα και τώρα δεν έχω εισιτήρια Green Day,θλίψη
Είναι ζοφερή έξω Με κάνει να λυπάμαι Χάω στον ήλιο και την ευτυχία του,θλίψη
το δικό του βράδυ κάθε Σάββατο δεν ήταν δίκαιο hehe,θλίψη
"Ναι, ο σκύλος του, ο οποίος θα πάει γαμημένο",θλίψη
Δεν είναι δίκαιο,θλίψη
"Είμαι τόσο λυπηρό που χάσαμε τον χρόνο που κάνατε, πήρα σπίτι από την πρακτική πολύ αργά",θλίψη
OH ΟΧΙ ΣΗΜΕΡΑ ΤΖΕΥ ΛΕΝΟΣ ΤΕΛΕΥΤΑΙΑ ΣΤΙΓΜΗ ΚΑΤΑ ΤΗΝ ΚΥΡΙΑΚΗ ΛΕΝΩ,θλίψη
Νομίζω ότι είναι ευχή να του δώσουμε ένα δάκρυ ή κάποιο αίμα για να τον κάνει να αισθάνεται καλύτερα,θλίψη
περίμενα μια ώρα και ποτέ δεν πήγα να σε μιλήσω,έκπληξη
Θα χάσετε το Thick As Blood την ερχόμενη Παρασκευή,θλίψη
Πού πάτε χθες το βράδυ Αναμείνατε να σας δούμε στο Broadway,θλίψη
ΣΟΥΤΙΖΕΙ όταν ο συμπαίκτης μου είναι ΜΙΑ όλο το Σαββατοκύριακο,θλίψη
Μόλις ξεκίνησε να βροντή από το πουθενά,έκπληξη
λείπει ο καλύτερος φίλος της και τους είδα μόλις σήμερα το απόγευμα Πόσο θλιβερό είμαι εγώ,έκπληξη
Δεν δούλευε για μένα Εκτός από τη χρήση της λέξης autofollow και ακολούθησε ένα bot που πουλούσε ένα πρόγραμμα autofollow,θλίψη
Σκότωσέ με τώρα Im τόσο άρρωστος το βράδυ της Παρασκευής,θλίψη
Πραγματικά,θλίψη
Τίποτα δεν 2 do 2nte Boooooooo Im εντελώς βαρεθεί,θλίψη
Im βαρεθεί έχω έναν πονοκέφαλο,θλίψη
Είμαι πολύ ζηλιάρης έπρεπε να πάω να το δω στο Σιάτλ με έναν φίλο αυτό το καλοκαίρι αλλά έπρεπε να διασώσει λόγω εργασίας,θλίψη
η άκρη του δακτύλου μου πονάει lmao,θλίψη
η κοιλιά μου πονάει κάπως,θλίψη
Αισθάνομαι εξαιρετικά καταθλιπτική αυτή τη στιγμή,θλίψη
Το κεφάλι μου πονάει Μπορεί να περιμένει να δει τη νέα φωτογράφηση,θλίψη
sux gabe μόλις μου είπε να πάω στο afterparty και έχω ID ότι λειτουργεί αλλά δεν μπορώ να πάω,θλίψη
Ugh Im κουρασμένος,θλίψη
omg που ήταν δίδυμες αδελφές μου fav τραγούδι,έκπληξη
Ένα απλό ωραίο δείπνο δεν υπάρχει στον κόσμο μου,θλίψη
τελευταία ημέρα του σχολείου τόσο λυπημένος,θλίψη
"Ο Johnny με προσκάλεσε στην ταινία, αλλά έχω πάρα πολλά πράγματα να κάνω πριν από τη συναυλία",θλίψη
Αγαπάει πραγματικά ότι η βόλτα does not πάει Πάρα πολύ κακό δεν ήμουν εγγραφή εκεί,θλίψη
Τα όνειρά μου έχουν καταρρεύσει Ο Spock δεν μοιάζει με τις κυρίες,θλίψη
λείπει η διασκέδαση που είχε με την Eclipse 3 SArmy SArmy SArmy,θλίψη
http twitpic com67wb4 Έχει μια επίδειξη τη Δευτέρα στις 9 ελπίζω ότι το κεφάλι μου θα είναι καλύτερη μέχρι τότε,θλίψη
"Εντάξει, τώρα αισθάνομαι πραγματικά άρρωστος",θλίψη
"Έχασες την εκπομπή σου απόψε, απλά έπρεπε να πάνε μέχρι τη λίμνη Erie και να απολαύσουν την ηρεμία",θλίψη
Ive ήταν στη Ρώμη Ιταλία Λατρεύω εκεί στυλ Elegance Πολύ δύσκολο να ζήσει στο Σικάγο Δεν υπάρχει κομψότητα εδώ Sad,θλίψη
κατέληξε πρόσωπο με πρόσωπο με μια αρκούδα στο 181 που οδηγεί στο σπίτι το απόγευμα Δυστυχώς κατέβηκε στο δάσος προτού να σηκώσω την κάμεραρο μου,θλίψη
MegaMan 25D wow Capcom παρακαλώ μην τσαλακώνετε ένα SquareEnix και βάζετε μια διαταγή Stop &amp; Desist σε αυτό το έργο,έκπληξη
"πρέπει να μιλήσω, αλλά άφησα το τηλέφωνό μου στο σπίτι",θλίψη
Λυπάμαι να μην πάω στην ακρόαση ταινίας σήμερα Φαίνεται σαν οι γείτονές μου θα πάρουν μια κλήση πίσω http myloc me21RK,θλίψη
Για εκείνους από εσάς που πηγαίνετε έξω από vancity Ive ακούσει το hwy είναι κλειστό ανατολικά δεσμεύεται στο cwack,έκπληξη
Fuuuuuuuudgeee έκαψα το δάχτυλό μου με λάδι Πονάει,θλίψη
Αυτό είναι χαζός συνεχίζω να χάνω τους οπαδούς,θλίψη
big sis ξεκίνησε 2 ημέρες το gna b παράξενο χωρίς την X,θλίψη
http twitpic com67kb6 Σοβαρή μέρα Ποιος θαυμάσιος και ενθουσιώδης δάσκαλος,θλίψη
http twitpic com67w20 Το μωρό της Ιορδανίας μιλούσε σε μένα Θα ήθελα να μπορούσα να σας συναντήσω,έκπληξη
μια άλλη νύχτα την Παρασκευή χωρίς να κάνουμε τίποτα για να κάνουμε το φίλο μέχρι τις 1 το πρωί,θλίψη
Λοξοτομήστε ότι η preseason does not ξεκινάει μέχρι τον Αύγουστο του ποδοσφαίρου με τις αποδόσεις,θλίψη
Συντονισμένη να ακούει αλλά είχε μια συνάντηση 130 Τώρα γνωρίζετε ότι το μου γυμνάσιο σχολείο γαλλική does not κόβει πια,θλίψη
"Αρχική σελίδα Πήρε μερικά ωραία βύσματα, αλλά όχι chipotle",θλίψη
η αδελφή μου έσπασε απλά την καρδιά μου έξω myy fukkn στήθος im super hurt αυτή τη στιγμή shes όλα χρειαζόμουν ποτέ σε αυτή τη ζωή,έκπληξη
Aleses γουρουνάκι πέθανε δεν μπορεί να πιάσει ένα γαμημένο άνθρωπο break,θλίψη
"σταμάτησε για καφέ στην περιοχή ανάπαυσης του Maryland, έτσι έκανε τουλάχιστον πέντε ολόκληρα μεσαία σχολεία απλά την τύχη μου",έκπληξη
δεν μπορώ να πιστέψω ότι κάποιος έσπασε το παράθυρο του αυτοκινήτου μου και μου έκλεψε το φορητό υπολογιστή που προφανώς δεν έχει μια μαμά,έκπληξη
Είχα μια συνειδητοποίηση σήμερα και με έκανε να λυπημένος Αλλά τουλάχιστον η θεραπεία μπορεί να ξεκινήσει,θλίψη
να πάρει καλύτερα omg i ακόμα dont πιστεύουν ότι εγώ didntgot μια φωτογραφία μαζί σας soo θλιβερό i dont τώρα πότε im θα δείτε u και πάλι,έκπληξη
Ξέρω ότι είναι φοβερό αλλά ποτέ δεν φοβάμαι ότι έχω πολλά χρήματα για να μπορέσουμε να έχουμε ένα μεθυσμένο χάπια μέχρι το postexams ja,θλίψη
ΘΑ ΜΠΟΡΕΙΤΕ ΝΑ ΑΛΛΑΞΕΤΕ ΛΟΓΩ ΘΑ ΘΕΛΕΤΕ ΤΑ ΘΥΜΑΤΑ Ε,θλίψη
